index,type,name,resident,streamed,parentStack
1,string,,9,0,||assetlist
2,scriptparsetree,scripts/mp/gametypes/infect.gsc,17449,0,|zone_source/core_mod.zone|csv
3,scriptparsetree,scripts/mp/gametypes/infect.csc,296,0,|zone_source/core_mod.zone|csv
4,rawfile,gamedata/gamesettings/mp/gamesettings_infect.cfg,429,0,|zone_source/core_mod.zone|csv
5,scriptparsetree,scripts/mp/gametypes/cranked.gsc,7703,0,|zone_source/core_mod.zone|csv
6,scriptparsetree,scripts/mp/gametypes/cranked.csc,284,0,|zone_source/core_mod.zone|csv
7,rawfile,gamedata/gamesettings/mp/gamesettings_cranked.cfg,402,0,|zone_source/core_mod.zone|csv
8,scriptparsetree,scripts/mp/gametypes/intel.gsc,4608,0,|zone_source/core_mod.zone|csv
9,scriptparsetree,scripts/mp/gametypes/intel.csc,302,0,|zone_source/core_mod.zone|csv
10,rawfile,gamedata/gamesettings/mp/gamesettings_intel.cfg,200,0,|zone_source/core_mod.zone|csv
11,scriptparsetree,scripts/mp/bots/_bot_loadout.gsc,16464,0,|zone_source/core_mod.zone|csv
12,scriptparsetree,scripts/mp/gametypes/_globallogic_player.gsc,86624,0,|zone_source/core_mod.zone|csv
13,scriptparsetree,scripts/mp/gametypes/_globallogic_spawn.gsc,16744,0,|zone_source/core_mod.zone|csv
14,scriptparsetree,scripts/mp/gametypes/_globallogic_ui.gsc,9980,0,|zone_source/core_mod.zone|csv
15,scriptparsetree,scripts/mp/gametypes/_globallogic.gsc,82756,0,|zone_source/core_mod.zone|csv
16,scriptparsetree,scripts/mp/gametypes/_loadout.gsc,29930,0,|zone_source/core_mod.zone|csv
17,scriptparsetree,scripts/mp/gametypes/_menus.gsc,3246,0,|zone_source/core_mod.zone|csv
18,scriptparsetree,scripts/shared/medals_shared.gsc,1076,0,|zone_source/core_mod.zone|csv
19,techset,2d_blend#da7372ff,33595,0,|combathigh_overlay|material|zone_source/core_mod.zone|csv
20,image,i_combathigh_overlay,37,87408,|combathigh_overlay|material|zone_source/core_mod.zone|csv
21,material,combathigh_overlay,75,0,|zone_source/core_mod.zone|csv
22,techset,mc/lit_detail#e6142445,658456,0,|mc/mtl_t6_wpn_tablet|material|t6_mod_intel_upload|xmodel|zone_source/core_mod.zone|csv
23,image,$gray_32_one_channel,170,0,|mc/mtl_t6_wpn_tablet|material|t6_mod_intel_upload|xmodel|zone_source/core_mod.zone|csv
24,image,i_t6_wpn_supply_drop_hq_n,213,1441792,|mc/mtl_t6_wpn_supply_drop_hq|material|t6_mod_intel_upload|xmodel|zone_source/core_mod.zone|csv
25,image,i_t6_wpn_supply_drop_hq_c,282,1441792,|mc/mtl_t6_wpn_supply_drop_hq|material|t6_mod_intel_upload|xmodel|zone_source/core_mod.zone|csv
26,image,$identitynormalmap,371,0,|mc/mtl_t6_wpn_tablet|material|t6_mod_intel_upload|xmodel|zone_source/core_mod.zone|csv
27,material,mc/mtl_t6_wpn_supply_drop_hq,1812,0,|t6_mod_intel_upload|xmodel|zone_source/core_mod.zone|csv
28,image,i_t6_wpn_briefcase_bomb_n,186,1441792,|mc/mtl_t6_wpn_briefcase_bomb|material|t6_mod_intel_upload|xmodel|zone_source/core_mod.zone|csv
29,image,i_t6_wpn_briefcase_bomb_c,282,1441792,|mc/mtl_t6_wpn_briefcase_bomb|material|t6_mod_intel_upload|xmodel|zone_source/core_mod.zone|csv
30,material,mc/mtl_t6_wpn_briefcase_bomb,844,0,|t6_mod_intel_upload|xmodel|zone_source/core_mod.zone|csv
31,techset,mc/lit_detail_transparent#e6142445,895059,0,|mc/mtl_t6_wpn_briefcase_bomb_detail|material|t6_mod_intel_upload|xmodel|zone_source/core_mod.zone|csv
32,image,$white_reveal,134,0,|mc/mtl_t6_wpn_briefcase_bomb_alpha|material|t6_mod_intel_upload|xmodel|zone_source/core_mod.zone|csv
33,image,i_t6_wpn_briefcase_bomb_detail_n,249,1441792,|mc/mtl_t6_wpn_briefcase_bomb_detail|material|t6_mod_intel_upload|xmodel|zone_source/core_mod.zone|csv
