index,type,name,resident,streamed,parentStack
1,string,,0,0,||assetlist
2,localize,MOD_OBJECTIVES_INFECT,106,0,||assetlist
3,localize,MOD_OBJECTIVES_INFECT_HINT,44,0,||assetlist
4,localize,MOD_OBJECTIVES_INFECT_SCORE,28,0,||assetlist
5,localize,MOD_DRAFT_STARTS_IN,45,0,||assetlist
6,localize,MOD_DRAFT_WAITING,46,0,||assetlist
7,localize,MOD_INFECTED_WIN,39,0,||assetlist
8,localize,MOD_SURVIVORS_WIN,39,0,||assetlist
9,localize,MOD_SURVIVORS_WIN_TIME,43,0,||assetlist
10,localize,MOD_SPECIALISTS_STREAK,40,0,||assetlist
11,localize,MOD_SCORE_KILL_INF,39,0,||assetlist
12,localize,MOD_SCORE_KILL_SUR,39,0,||assetlist
13,localize,MOD_BECOME_INFECTED,31,0,||assetlist
14,keyvaluepairs,en_mp_mod,583,0,||assetlist
15,assetlist,,208,0,
